time_step,candidate_count,validated_action_count,rejected_action_count,fallback_used,llm_used
0,5,2,0,False,False
1,5,0,0,True,False
2,12,9,0,False,False
3,12,0,0,True,False
4,12,9,0,False,False
5,12,0,0,True,False
6,12,8,0,False,False
7,12,1,0,False,False
8,12,7,0,False,False
9,12,0,1,True,False
10,12,7,0,False,False
11,12,2,0,False,False
12,12,0,8,True,False
13,12,1,1,False,False
14,12,5,3,False,False
15,12,0,2,True,False
16,12,3,3,False,False
17,12,1,3,False,False
18,12,4,2,False,False
19,12,0,4,True,False
20,12,2,4,False,False
21,12,1,3,False,False
22,12,2,4,False,False
23,12,1,3,False,False
