vehicle_id,charger_id,zone,target_soc,planned_duration_hours,reasoning_summary,is_valid,validation_errors,repaired_from_original,agent_used,llm_used,fallback_used,heuristic_priority_score,agent_strategy_summary,time_step,scheduler_mode
vehicle_015,charger_007,Z7,0.72,1.0,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,0,agentic_llm
vehicle_035,charger_006,Z6,0.72,1.0,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,0,agentic_llm
vehicle_010,charger_004,Z4,0.72,1.0,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,0,agentic_llm
vehicle_030,charger_005,Z5,0.72,1.0,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,0,agentic_llm
vehicle_025,charger_003,Z3,0.72,1.0,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,0,agentic_llm
vehicle_045,charger_009,Z9,0.72,1.0,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,0,agentic_llm
vehicle_005,charger_001,Z10,0.66,1.0,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,0,agentic_llm
vehicle_020,charger_002,Z2,0.72,1.0,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,0,agentic_llm
vehicle_040,charger_008,Z8,0.72,1.0,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,0,agentic_llm
vehicle_000,charger_000,Z1,0.66,1.0,Heuristic score prioritised this vehicle for charging. Deterministic support layer used shallow charging to fill unused safe capacity.,,,,agentic_llm,False,False,0.522,Mock LLM selected high-priority candidates while preserving near-term zone availability. Deterministic support layer supplemented the plan to protect availability.,0,agentic_llm
vehicle_011,charger_007,Z7,0.72,0.9,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,2,agentic_llm
vehicle_031,charger_006,Z6,0.72,0.9,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,2,agentic_llm
vehicle_006,charger_004,Z4,0.72,0.9,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,2,agentic_llm
vehicle_026,charger_005,Z5,0.72,0.9,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,2,agentic_llm
vehicle_021,charger_003,Z3,0.72,0.9,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,2,agentic_llm
vehicle_041,charger_009,Z9,0.72,0.9,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,2,agentic_llm
vehicle_001,charger_001,Z10,0.66,0.736,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,2,agentic_llm
vehicle_016,charger_002,Z2,0.72,0.9,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,2,agentic_llm
vehicle_036,charger_008,Z8,0.72,0.9,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,2,agentic_llm
vehicle_007,charger_000,Z1,0.71,0.573,Heuristic score prioritised this vehicle for charging. Deterministic support layer used shallow charging to fill unused safe capacity.,,,,agentic_llm,False,False,0.499,Mock LLM selected high-priority candidates while preserving near-term zone availability. Deterministic support layer supplemented the plan to protect availability.,2,agentic_llm
vehicle_017,charger_002,Z2,0.72,0.6,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,4,agentic_llm
vehicle_022,charger_003,Z3,0.72,0.6,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,4,agentic_llm
vehicle_027,charger_005,Z5,0.72,0.6,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,4,agentic_llm
vehicle_037,charger_008,Z8,0.72,0.6,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,4,agentic_llm
vehicle_042,charger_009,Z9,0.72,0.6,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,4,agentic_llm
vehicle_002,charger_001,Z10,0.66,0.436,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,4,agentic_llm
vehicle_012,charger_007,Z7,0.72,0.6,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,4,agentic_llm
vehicle_032,charger_006,Z6,0.72,0.6,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,4,agentic_llm
vehicle_009,charger_004,Z4,0.72,0.818,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,4,agentic_llm
vehicle_014,charger_000,Z1,0.71,0.791,Heuristic score prioritised this vehicle for charging. Deterministic support layer used shallow charging to fill unused safe capacity.,,,,agentic_llm,False,False,0.487,Mock LLM selected high-priority candidates while preserving near-term zone availability. Deterministic support layer supplemented the plan to protect availability.,4,agentic_llm
vehicle_046,charger_000,Z1,0.76,1.0,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,6,agentic_llm
vehicle_000,charger_001,Z10,0.72,0.745,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,6,agentic_llm
vehicle_015,charger_007,Z7,0.72,1.0,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,6,agentic_llm
vehicle_020,charger_002,Z2,0.72,1.0,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,6,agentic_llm
vehicle_025,charger_003,Z3,0.72,1.0,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,6,agentic_llm
vehicle_030,charger_005,Z5,0.72,1.0,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,6,agentic_llm
vehicle_035,charger_006,Z6,0.72,1.0,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,6,agentic_llm
vehicle_040,charger_008,Z8,0.72,1.0,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,6,agentic_llm
vehicle_003,charger_004,Z4,0.71,0.818,Heuristic score prioritised this vehicle for charging. Deterministic support layer used shallow charging to fill unused safe capacity.,,,,agentic_llm,False,False,0.4805,Mock LLM selected high-priority candidates while preserving near-term zone availability. Deterministic support layer supplemented the plan to protect availability.,6,agentic_llm
vehicle_045,charger_009,Z9,0.72,1.0,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,7,agentic_llm
vehicle_001,charger_001,Z10,0.76,1.0,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,8,agentic_llm
vehicle_049,charger_000,Z1,0.76,1.0,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,8,agentic_llm
vehicle_019,charger_002,Z2,0.72,0.818,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,8,agentic_llm
vehicle_024,charger_003,Z3,0.72,0.818,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,8,agentic_llm
vehicle_029,charger_005,Z5,0.72,0.818,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,8,agentic_llm
vehicle_034,charger_006,Z6,0.72,0.818,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,8,agentic_llm
vehicle_039,charger_008,Z8,0.72,0.818,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,8,agentic_llm
vehicle_005,charger_004,Z4,0.8,0.963,Heuristic score prioritised this vehicle for charging.,,vehicle zone is not compatible with charger zone,,agentic_llm,False,True,0.5256,Fallback to deterministic smart-priority scheduler.,9,agentic_llm
vehicle_004,charger_007,Z7,0.8,1.0,Heuristic score prioritised this vehicle for charging.,,vehicle zone is not compatible with charger zone,,agentic_llm,False,True,0.525,Fallback to deterministic smart-priority scheduler.,9,agentic_llm
vehicle_002,charger_009,Z9,0.8,1.0,Heuristic score prioritised this vehicle for charging.,,vehicle zone is not compatible with charger zone,,agentic_llm,False,True,0.506,Fallback to deterministic smart-priority scheduler.,9,agentic_llm
vehicle_003,charger_001,Z10,0.76,0.955,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,10,agentic_llm
vehicle_048,charger_000,Z1,0.76,1.0,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,10,agentic_llm
vehicle_016,charger_002,Z2,0.72,1.0,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,10,agentic_llm
vehicle_021,charger_003,Z3,0.72,1.0,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,10,agentic_llm
vehicle_026,charger_005,Z5,0.72,1.0,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,10,agentic_llm
vehicle_031,charger_006,Z6,0.72,1.0,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,10,agentic_llm
vehicle_036,charger_008,Z8,0.72,1.0,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,10,agentic_llm
vehicle_010,charger_004,Z4,0.76,1.0,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,11,agentic_llm
vehicle_041,charger_009,Z9,0.72,1.0,Deterministic mock selected the highest-priority candidate.,True,[],,agentic_llm,False,False,0.0,Mock LLM selected high-priority candidates while preserving near-term zone availability.,11,agentic_llm
vehicle_006,charger_000,Z1,0.8,1.0,Heuristic score prioritised this vehicle for charging.,,vehicle zone is not compatible with charger zone; vehicle zone is not compatible with charger zone; vehicle zone is not compatible with charger zone; vehicle zone is not compatible with charger zone; vehicle zone is not compatible with charger zone; vehicle zone is not compatible with charger zone; vehicle zone is not compatible with charger zone; vehicle zone is not compatible with charger zone,,agentic_llm,False,True,0.5272,Fallback to deterministic smart-priority scheduler.,12,agentic_llm
vehicle_009,charger_001,Z10,0.8,1.0,Heuristic score prioritised this vehicle for charging.,,vehicle zone is not compatible with charger zone; vehicle zone is not compatible with charger zone; vehicle zone is not compatible with charger zone; vehicle zone is not compatible with charger zone; vehicle zone is not compatible with charger zone; vehicle zone is not compatible with charger zone; vehicle zone is not compatible with charger zone; vehicle zone is not compatible with charger zone,,agentic_llm,False,True,0.5272,Fallback to deterministic smart-priority scheduler.,12,agentic_llm
