time_step,timestamp,scheduler_mode,electricity_price,charging_cost_eur,cumulative_cost_eur,charging_energy_kwh,served_demand,unmet_demand,cumulative_unmet_demand,vehicle_availability,charger_utilization,average_soc,minimum_soc,waiting_vehicle_hours,llm_used,fallback_used
0,2025-01-01T00:00:00,agentic_llm,36.56,8.043,8.043,220.0,20,0,0,0.8,1.0,0.533,0.39,50,False,False
1,2025-01-01T01:00:00,agentic_llm,36.56,0.0,8.043,0.0,19,0,0,1.0,0.0,0.495,0.39,50,False,False
2,2025-01-01T02:00:00,agentic_llm,36.56,6.844,14.887,187.192,19,0,0,0.8,1.0,0.52,0.39,50,False,False
3,2025-01-01T03:00:00,agentic_llm,36.56,0.0,14.887,0.0,19,0,0,1.0,0.0,0.482,0.39,50,False,False
4,2025-01-01T04:00:00,agentic_llm,36.56,5.023,19.91,137.388,19,0,0,0.8,1.0,0.49,0.347,50,False,False
5,2025-01-01T05:00:00,agentic_llm,36.56,0.0,19.91,0.0,19,0,0,1.0,0.0,0.452,0.32,50,False,False
6,2025-01-01T06:00:00,agentic_llm,36.56,6.887,26.797,188.376,20,0,0,0.82,0.9,0.474,0.3,50,False,False
7,2025-01-01T07:00:00,agentic_llm,36.56,0.804,27.601,22.0,20,0,0,0.98,0.1,0.442,0.22,50,False,False
8,2025-01-01T08:00:00,agentic_llm,36.56,4.898,32.499,133.98,21,0,0,0.86,0.7,0.444,0.21,50,False,False
9,2025-01-01T09:00:00,agentic_llm,36.56,2.383,34.882,65.18,21,0,0,0.94,0.3,0.424,0.21,50,False,True
10,2025-01-01T10:00:00,agentic_llm,36.56,5.594,40.476,153.0,21,0,0,0.86,0.7,0.433,0.22,50,False,False
11,2025-01-01T11:00:00,agentic_llm,36.56,1.609,42.085,44.0,21,0,0,0.96,0.2,0.406,0.22,50,False,False
12,2025-01-01T12:00:00,agentic_llm,36.56,6.435,48.52,176.0,20,1,1,0.84,0.8,0.425,0.214,50,False,True
13,2025-01-01T13:00:00,agentic_llm,36.56,1.609,50.129,44.0,22,0,1,0.96,0.2,0.395,0.214,50,False,False
14,2025-01-01T14:00:00,agentic_llm,36.56,6.17,56.299,168.76,22,0,1,0.82,0.8,0.408,0.187,50,False,False
15,2025-01-01T15:00:00,agentic_llm,36.56,1.609,57.908,44.0,22,0,1,0.92,0.2,0.378,0.177,50,False,True
16,2025-01-01T16:00:00,agentic_llm,36.56,4.737,62.645,129.576,21,1,2,0.88,0.6,0.38,0.21,50,False,False
17,2025-01-01T17:00:00,agentic_llm,36.56,3.143,65.788,85.976,23,0,2,0.84,0.4,0.362,0.187,50,False,False
18,2025-01-01T18:00:00,agentic_llm,36.56,4.826,70.614,132.0,22,0,2,0.7,0.6,0.362,0.11,50,False,False
19,2025-01-01T19:00:00,agentic_llm,36.56,3.217,73.831,88.0,21,0,2,0.7,0.4,0.35,0.11,50,False,True
20,2025-01-01T20:00:00,agentic_llm,36.56,4.826,78.657,132.0,20,1,3,0.68,0.6,0.354,0.177,50,False,False
21,2025-01-01T21:00:00,agentic_llm,36.56,3.217,81.874,88.0,20,0,3,0.7,0.4,0.343,0.16,50,False,False
22,2025-01-01T22:00:00,agentic_llm,36.56,4.826,86.7,132.0,20,0,3,0.66,0.6,0.347,0.154,50,False,False
23,2025-01-01T23:00:00,agentic_llm,36.56,3.217,89.917,88.0,19,1,4,0.62,0.4,0.338,0.144,50,False,False
