time_step,timestamp,scheduler_mode,electricity_price,charging_cost_eur,cumulative_cost_eur,charging_energy_kwh,served_demand,unmet_demand,cumulative_unmet_demand,vehicle_availability,charger_utilization,average_soc,minimum_soc,waiting_vehicle_hours,llm_used,fallback_used
0,2025-01-01T00:00:00,baseline,36.56,8.043,8.043,220.0,20,0,0,0.8,1.0,0.533,0.39,50,False,False
1,2025-01-01T01:00:00,baseline,36.56,0.0,8.043,0.0,19,0,0,1.0,0.0,0.495,0.39,50,False,False
2,2025-01-01T02:00:00,baseline,36.56,0.0,8.043,0.0,19,0,0,1.0,0.0,0.457,0.39,50,False,False
3,2025-01-01T03:00:00,baseline,36.56,0.0,8.043,0.0,19,0,0,1.0,0.0,0.419,0.39,50,False,False
4,2025-01-01T04:00:00,baseline,36.56,0.0,8.043,0.0,19,0,0,1.0,0.0,0.381,0.32,50,False,False
5,2025-01-01T05:00:00,baseline,36.56,8.043,16.086,220.0,19,0,0,0.8,1.0,0.417,0.3,50,False,False
6,2025-01-01T06:00:00,baseline,36.56,0.0,16.086,0.0,20,0,0,1.0,0.0,0.377,0.29,50,False,False
7,2025-01-01T07:00:00,baseline,36.56,8.043,24.129,220.0,20,0,0,0.8,1.0,0.41,0.22,50,False,False
8,2025-01-01T08:00:00,baseline,36.56,0.0,24.129,0.0,21,0,0,0.98,0.0,0.368,0.2,50,False,False
9,2025-01-01T09:00:00,baseline,36.56,8.043,32.172,220.0,20,1,1,0.74,1.0,0.402,0.19,50,False,False
10,2025-01-01T10:00:00,baseline,36.56,0.0,32.172,0.0,21,0,1,0.9,0.0,0.36,0.147,50,False,False
11,2025-01-01T11:00:00,baseline,36.56,8.043,40.215,220.0,19,2,3,0.8,1.0,0.395,0.257,50,False,False
12,2025-01-01T12:00:00,baseline,36.56,0.0,40.215,0.0,21,0,3,1.0,0.0,0.353,0.214,50,False,False
13,2025-01-01T13:00:00,baseline,36.56,8.043,48.258,220.0,21,1,4,0.76,1.0,0.384,0.19,50,False,False
14,2025-01-01T14:00:00,baseline,36.56,0.0,48.258,0.0,22,0,4,0.96,0.0,0.34,0.19,50,False,False
15,2025-01-01T15:00:00,baseline,36.56,8.043,56.301,220.0,22,0,4,0.76,1.0,0.37,0.187,50,False,False
16,2025-01-01T16:00:00,baseline,36.56,0.0,56.301,0.0,22,0,4,0.88,0.0,0.326,0.167,50,False,False
17,2025-01-01T17:00:00,baseline,36.56,8.043,64.344,220.0,23,0,4,0.68,1.0,0.353,0.157,50,False,False
18,2025-01-01T18:00:00,baseline,36.56,0.0,64.344,0.0,22,0,4,0.84,0.0,0.309,0.157,50,False,False
19,2025-01-01T19:00:00,baseline,36.56,8.043,72.387,220.0,20,1,5,0.66,1.0,0.343,0.114,50,False,False
20,2025-01-01T20:00:00,baseline,36.56,0.0,72.387,0.0,21,0,5,0.72,0.0,0.301,0.114,50,False,False
21,2025-01-01T21:00:00,baseline,36.56,8.043,80.43,220.0,19,1,6,0.6,1.0,0.336,0.11,50,False,False
22,2025-01-01T22:00:00,baseline,36.56,0.0,80.43,0.0,20,0,6,0.72,0.0,0.296,0.11,50,False,False
23,2025-01-01T23:00:00,baseline,36.56,8.043,88.473,220.0,19,1,7,0.66,1.0,0.331,0.11,50,False,False
