time_step,timestamp,scheduler_mode,electricity_price,charging_cost_eur,cumulative_cost_eur,charging_energy_kwh,served_demand,unmet_demand,cumulative_unmet_demand,vehicle_availability,charger_utilization,average_soc,minimum_soc,waiting_vehicle_hours,llm_used,fallback_used
0,2025-01-01T00:00:00,smart_priority,36.56,8.043,8.043,220.0,20,0,0,0.8,1.0,0.533,0.39,50,False,False
1,2025-01-01T01:00:00,smart_priority,36.56,0.0,8.043,0.0,19,0,0,1.0,0.0,0.495,0.39,50,False,False
2,2025-01-01T02:00:00,smart_priority,36.56,7.897,15.94,215.996,19,0,0,0.8,1.0,0.529,0.39,50,False,False
3,2025-01-01T03:00:00,smart_priority,36.56,0.0,15.94,0.0,19,0,0,1.0,0.0,0.491,0.39,50,False,False
4,2025-01-01T04:00:00,smart_priority,36.56,6.872,22.812,187.968,19,0,0,0.8,1.0,0.516,0.347,50,False,False
5,2025-01-01T05:00:00,smart_priority,36.56,0.0,22.812,0.0,19,0,0,1.0,0.0,0.478,0.32,50,False,False
6,2025-01-01T06:00:00,smart_priority,36.56,7.815,30.627,213.76,20,0,0,0.8,1.0,0.509,0.3,50,False,False
7,2025-01-01T07:00:00,smart_priority,36.56,0.0,30.627,0.0,20,0,0,1.0,0.0,0.469,0.3,49,False,False
8,2025-01-01T08:00:00,smart_priority,36.56,8.043,38.67,220.0,21,0,0,0.8,1.0,0.501,0.31,50,False,False
9,2025-01-01T09:00:00,smart_priority,36.56,0.0,38.67,0.0,21,0,0,1.0,0.0,0.459,0.3,50,False,False
10,2025-01-01T10:00:00,smart_priority,36.56,7.677,46.347,209.99,21,0,0,0.8,1.0,0.487,0.257,50,False,False
11,2025-01-01T11:00:00,smart_priority,36.56,0.0,46.347,0.0,21,0,0,1.0,0.0,0.445,0.257,50,False,False
12,2025-01-01T12:00:00,smart_priority,36.56,7.897,54.244,215.996,19,2,2,0.8,1.0,0.479,0.257,50,False,False
13,2025-01-01T13:00:00,smart_priority,36.56,0.0,54.244,0.0,22,0,2,1.0,0.0,0.435,0.257,50,False,False
14,2025-01-01T14:00:00,smart_priority,36.56,7.779,62.023,212.776,21,1,3,0.8,1.0,0.464,0.267,50,False,False
15,2025-01-01T15:00:00,smart_priority,36.56,0.0,62.023,0.0,22,0,3,0.98,0.0,0.42,0.187,50,False,False
16,2025-01-01T16:00:00,smart_priority,36.56,7.998,70.021,218.76,20,2,5,0.76,1.0,0.453,0.167,50,False,False
17,2025-01-01T17:00:00,smart_priority,36.56,0.0,70.021,0.0,23,0,5,0.94,0.0,0.407,0.157,50,False,False
18,2025-01-01T18:00:00,smart_priority,36.56,7.677,77.698,209.99,21,1,6,0.8,1.0,0.435,0.224,50,False,False
19,2025-01-01T19:00:00,smart_priority,36.56,0.0,77.698,0.0,21,0,6,0.96,0.0,0.393,0.2,50,False,False
20,2025-01-01T20:00:00,smart_priority,36.56,8.043,85.741,220.0,19,2,8,0.76,1.0,0.428,0.181,50,False,False
21,2025-01-01T21:00:00,smart_priority,36.56,0.0,85.741,0.0,20,0,8,0.94,0.0,0.388,0.181,50,False,False
22,2025-01-01T22:00:00,smart_priority,36.56,8.043,93.784,220.0,19,1,9,0.8,1.0,0.424,0.244,50,False,False
23,2025-01-01T23:00:00,smart_priority,36.56,0.0,93.784,0.0,20,0,9,1.0,0.0,0.384,0.214,50,False,False
